GraphID;Prim_TotalCost;Kruskal_TotalCost;Prim_Time_ms;Kruskal_Time_ms;Prim_Operations;Kruskal_Operations;Prim_Time_ms (formatted);Kruskal_Time_ms (formatted)
1;294;294;4,1330;3,1403;30;29;4133;3140,3
2;225;225;0,1792;0,1376;16;16;179,2;137,6
3;399;399;0,3637;0,3263;32;33;363,7;326,3
4;322;322;2,1067;0,8736;38;38;2106,7;873,6
5;329;329;1,1645;0,3383;30;38;1164,5;338,3
6;3348;3348;7,0678;20,6027;423;423;7067,8;20602,7
7;2552;2552;2062557,0000;989475,0000;317;314;2062557000,00;989475000,00
8;3169;3169;1202135,0000;1138859,0000;367;367;1202135000,00;1138859000,00
9;1998;1998;5,1151;1993496,0000;263;257;5115,1;1993496000,00
10;780;780;0,4763;0,4851;78;79;476,3;485,1
11;4130;4130;9,0152;2236778,0000;485;478;9015,2;2236778000
12;2732;2732;4,1893;151636,0000;293;293;4189,3;151636000
13;3645;3645;1307967,0000;2,3740;474;477;1307967000;2374
14;720;720;0,5612;0,4198;91;91;561,2;419,8
15;1629;1629;0,9335;0,8166;174;173;933,5;816,6
16;6432;6432;2905718,0000;4,6370;863;865;2905718000;4637
17;4524;4524;3,1109;2853673,0000;596;593;3110,9;2853673000
18;6342;6342;5,0770;2950855,0000;858;862;5077;2950855000
19;11242;11242;9,9880;496183,0000;1576;1566;9988;496183000
20;12637;12637;2642774,0000;716912,0000;1833;1828;2642774000;716912000
21;4429;4429;595013,0000;2,0740;594;593;595013000;2074
22;8038;8038;1773374,0000;424169,0000;1062;1058;1773374000;424169000
23;4789;4789;1698046,0000;62490,0000;646;645;1698046000;62490000
24;10646;10646;134563,0000;30803,0000;1423;1425;134563000;30803000
25;11025;11025;1292746,0000;2441038,0000;1515;1512;1292746000;2441038000
26;27576;27576;16,5195;189532,0000;3850;3839;16519,5;189532000
27;22484;22484;2584397,0000;218265,0000;3026;3015;2584397000;218265000
28;24430;24430;65320,0000;1183173,0000;3307;3320;65320000;1183173000
